"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"North Dakota"	"38"	"Female"	"F"	28	294792	9.498	6.311	13.728	1.795	10.091	6.650	14.681	1.946
	"North Dakota"	"38"	"Male"	"M"	125	310648	40.238	33.184	47.293	3.599	39.599	32.504	46.694	3.620
"Total"	"North Dakota"	"38"			153	605440	25.271	21.267	29.275	2.043	25.388	21.277	29.499	2.098
	"Ohio"	"39"	"Female"	"F"	321	4896177	6.556	5.839	7.273	0.366	6.926	6.142	7.710	0.400
	"Ohio"	"39"	"Male"	"M"	1392	4616495	30.153	28.569	31.737	0.808	30.886	29.224	32.547	0.848
"Total"	"Ohio"	"39"			1713	9512672	18.008	17.155	18.860	0.435	18.503	17.601	19.404	0.460
	"Oklahoma"	"40"	"Female"	"F"	182	1591914	11.433	9.772	13.094	0.847	11.918	10.141	13.695	0.907
	"Oklahoma"	"40"	"Male"	"M"	567	1538326	36.858	33.824	39.892	1.548	36.805	33.722	39.888	1.573
"Total"	"Oklahoma"	"40"			749	3130240	23.928	22.214	25.642	0.874	24.117	22.354	25.881	0.900
	"Oregon"	"41"	"Female"	"F"	190	1735794	10.946	9.390	12.502	0.794	11.168	9.533	12.802	0.834
	"Oregon"	"41"	"Male"	"M"	625	1681759	37.163	34.250	40.077	1.487	37.034	34.069	39.998	1.512
"Total"	"Oregon"	"41"			815	3417553	23.847	22.210	25.485	0.835	23.821	22.145	25.498	0.856
	"Pennsylvania"	"42"	"Female"	"F"	456	5462372	8.348	7.582	9.114	0.391	8.690	7.858	9.521	0.424
	"Pennsylvania"	"42"	"Male"	"M"	1560	5150229	30.290	28.787	31.793	0.767	29.971	28.439	31.502	0.781
